Decks,Set,ELO
"Isperia, Supreme Judge",rtr,64.6050453989852
"Yenna, Redtooth Regent",woe,73.72749383453956
"Satsuki, the Living Lore",neo,73.72762256606337
Vorinclex,khm,75.91668845600259
"Dina, Soul Steeper",stx,77.45752895714695
"Chandra, Bold Pyromancer",dom,79.90734230762314
"Zoraline, Cosmos Caller",blb,82.68929762277865
"Wylie Duke, Atiin Hero",otj,83.87109271082247
"Johann, Apprentice Sorcerer",woe,84.20591624307256
"Abuelo, Ancestral Echo",lci,84.6288322211401
"Hapatra, Vizier of Poisons",akh,84.64842343662094
"Nahiri, the Harbinger",soi,84.71646345086204
"Alquist Proft, Master Sleuth",mkm,84.90346941793563
Rafiq of the Many,ala,85.18759571355248
"Falco Spara, Pactweaver",snc,85.43562557903444
"Neriv, Heart of the Storm",tdm,85.78262686342751
Admiral Beckett Brass,xln,87.0967886415876
"Kolodin, Triumph Caster",dft,88.10500985231575
"Byrke, Long Ear of the Law",blb,90.08356184824765
"Raff Capashen, Ship's Mage",dom,90.09353160738355
"Vivien, Monsters' Advocate",iko,90.13062537261196
"Baylen, the Haymaker",blb,90.18746873466594
"Dovin, Grand Arbiter",rna,90.3183841069106
"Wydwen, the Biting Gale",lrw,91.56920975779776
"Lagrella, the Magpie",snc,92.255429539645
The Mindskinner,dsk,92.37649213415004
"Camellia, the Seedmiser",blb,92.48776208713097
"Helga, Skittish Seer",blb,93.3623793674698
Marina Vendrell,dsk,93.54104086809647
Admiral Beckett Brass,lcc,94.1435069517591
"Voja, Jaws of the Conclave",mkm,94.24187436745868
"Elenda, the Dusk Rose",rix,94.65693439191826
"Chandra, Fire Artisan",war,94.71778801935018
"Cormela, Glamour Thief",snc,94.74029406527052
"Kellan, the Kid",otj,94.87597323569602
Wrenn and Seven,mid,94.87999358280685
Domri Rade,rtr,94.91273758541298
Sharae of Numbing Depths,woe,94.93390386952306
Gideon Jura,roe,94.94523853897138
"Oko, the Ringleader",otj,94.95610571293712
"Vito, Fanatic of Aclazotz",lci,94.99942901780389
"Yasharn, Implacable Earth",znr,95.00727188207271
Sharuum the Hegemon,ala,95.0435591580661
Kaito Shizuki,neo,95.06734597968679
"Shaile, Dean of Radiance // Embrose, Dean of Shadow",stx,95.08155815852624
"Tezzeret, Agent of Bolas",mbs,95.10471607954459
"Yargle, Glutton of Urborg",dom,95.11533699550687
"Florian, Voldaren Scion",mid,95.15647113013236
The Royal Scions,eld,95.20660478411199
Lurrus of the Dream-Den,iko,95.23776024766622
"Oko, Thief of Crowns",eld,95.26245658147988
Nissa of Shadowed Boughs,znr,95.26522915359371
"Vraska, Relic Seeker",xln,95.26940128988694
"Titania, Nature's Force",brc,95.39914045638298
Quintorius Kand,lci,95.4542114286319
"Mishra, Claimed by Gix",bro,95.47190496412506
"Kyodai, Soul of Kamigawa",neo,95.61194136624911
"Marchesa, Dealer of Death",otj,95.95123153851851
The Mycotyrant,lci,96.12208589304294
"Totentanz, Swarm Piper",woe,96.80030984917407
"Etrata, the Silencer",grn,97.36918595186206
"Anim Pakal, Thousandth Moon",lci,98.14824435613741
"Ziatora, the Incinerator",snc,98.72472096051777
"Loot, the Pathfinder",dft,98.72962155307924
"Migloz, Maze Crusher",one,98.91221168465214
Cromat,apc,99.06336774376769
"Esika, God of the Tree // The Prismatic Bridge",khm,99.16356664460524
"Omnath, Locus of Mana",wwk,99.20849024475277
"Chandra, Hope's Beacon",mom,99.49196522884431
Scion of the Ur-Dragon,tsp,99.62574163232645
Eshki Dragonclaw,tdm,99.67695513152212
"Talion, the Kindly Lord",woe,99.72121802501734
"Jodah, the Unifier",dmu,99.76392941196923
"Saheeli, Filigree Master",bro,99.83303693317953
"Mendicant Core, Guidelight",dft,99.85127484984342
"Kutzil, Malamet Exemplar",lci,99.89185939252454
"Angrath, the Flame-Chained",rix,99.9430630335004
"Greta, Sweettooth Scourge",woe,99.98647316643492
"Harbin, Vanguard Aviator",bro,99.99057725848715
Chandra Nalaàr,lrw,100.01474617054417
"Olivia, Mobilized for War",soi,100.07617310795322
"Miriam, Herd Whisperer",otj,100.22521564924926
"Rem Karolus, Stalwart Slayer",mid,100.24644592198116
Ezio Auditore Da Firenze,acr,100.2953211599391
Liliana of the Veil,isd,100.32399672695524
"Rocco, Street Chef",mat,100.39214618336425
"Rhys, the Exiled",mor,100.39611959094704
Brion Stoutarm,lrw,100.44974584556967
"Sygg, River Guide",lrw,100.46988421004875
"Gev, Scaled Scorch",blb,100.59787697713773
"Brokkos, Apex of Forever",iko,100.71406443600968
"Lukka, Bound to Ruin",one,100.796186745711
Sarkhan Unbroken,dtk,100.87644062351904
"Winter, Misanthropic Guide",dsk,101.47397926637653
"Nicanzil, Current Conductor",lci,102.25299189526471
"Vial Smasher, Gleeful Grenadier",otj,102.59126974927604
"Snapdax, Apex of the Hunt",iko,102.88394586512726
Zurgo and Ojutai,mom,102.99691886250802
"Captain Howler, Sea Scourge",dft,103.84481755974187
"Sigarda, Host of Herons",avr,103.9964630564112
"Rip, Spawn Hunter",dsk,104.02848346037058
"Ash, Party Crasher",woe,104.18319950840748
"Chandra, Flamecaller",ogw,104.20587435460314
Hylda of the Icy Crown,woe,104.26346916763765
"Niv-Mizzet, Guildpact",mkm,104.4217518388524
The Wandering Rescuer,dsk,104.70711982001866
