Decks,Set,ELO
"Lagrella, the Magpie",snc,75.66197457947797
Vorinclex,khm,75.71165150441423
"Hapatra, Vizier of Poisons",akh,84.22243871272423
"Nahiri, the Harbinger",soi,84.7776078444342
Rafiq of the Many,ala,85.12224624177918
"Neriv, Heart of the Storm",tdm,85.1428161289684
"Choco, Seeker of Paradise",fin,85.30902578047237
"Yenna, Redtooth Regent",woe,85.33755457709186
"Marchesa, Dealer of Death",otj,86.35749940406404
"Johann, Apprentice Sorcerer",woe,89.44994335266729
"Satsuki, the Living Lore",neo,89.97395980220998
"Byrke, Long Ear of the Law",blb,89.99914099808888
"Raff Capashen, Ship's Mage",dom,90.07226138962776
"Falco Spara, Pactweaver",snc,90.07539456451157
"Vivien, Monsters' Advocate",iko,90.08520506469102
"Dina, Soul Steeper",stx,90.16923256020058
"Camellia, the Seedmiser",blb,90.44193992842467
Marina Vendrell,dsk,90.50792912674737
"Voja, Jaws of the Conclave",mkm,90.53409901690992
"Migloz, Maze Crusher",one,94.14283082454072
"Kolodin, Triumph Caster",dft,94.32431167736473
"Jodah, the Unifier",dmu,94.63331011936957
"Ral, Crackling Wit",blb,94.6886250988745
"Lagorin, Soul of Alacria",dft,94.79662210312179
Gideon Jura,roe,94.83573990177985
"Oko, the Ringleader",otj,94.87471626443717
Sharae of Numbing Depths,woe,94.95528555349948
The Royal Scions,eld,94.96389396376455
"Florian, Voldaren Scion",mid,95.07168310485189
"Vial Smasher, Gleeful Grenadier",otj,95.1296280484427
Kaito Shizuki,neo,95.14948199459346
"Baylen, the Haymaker",blb,95.15644013257969
"Vito, Fanatic of Aclazotz",lci,95.18132207643617
Quintorius Kand,lci,95.24989511649284
Eshki Dragonclaw,tdm,95.29883158693735
"Loot, the Pathfinder",dft,95.52037684073329
Sarkhan Unbroken,dtk,95.55846650354363
"Wydwen, the Biting Gale",lrw,95.85580039097607
"Far Fortune, End Boss",dft,96.26094635645904
"Omnath, Locus of Mana",wwk,98.75859953939351
"Helga, Skittish Seer",blb,98.88161744957789
"Chandra, Flamecaller",ogw,99.24506766599016
"Niv-Mizzet, Guildpact",mkm,99.46928943100988
"Tovolar, Dire Overlord",mid,99.68509644953619
"Talion, the Kindly Lord",woe,99.76364562113011
"Harbin, Vanguard Aviator",bro,99.96313293869092
Satoru Umezawa,neo,100
"Kyodai, Soul of Kamigawa",neo,100
"Illuna, Apex of Wishes",iko,100
Lurrus of the Dream-Den,iko,100
"Brokkos, Apex of Forever",iko,100
Hylda of the Icy Crown,woe,100
"Lord Skitter, Sewer King",woe,100
"Ash, Party Crasher",woe,100
Beluna Grandsquall,woe,100
"Abuelo, Ancestral Echo",lci,100
"Nicanzil, Current Conductor",lci,100
"Anim Pakal, Thousandth Moon",lci,100
"Chandra, Hope's Beacon",mom,100
"Yargle, Glutton of Urborg",dom,100
"Chandra, Bold Pyromancer",dom,100
"Titania, Voice of Gaea",bro,100
"Saheeli, Filigree Master",bro,100
"Chandra, Torch of Defiance",kld,100
Sharuum the Hegemon,ala,100
